[rl] Using Torch backend
INFO:train.py:Using configuration: banana
INFO:train.py:Using seed = 0
INFO:train.py:Running in headless mode
DEBUG:unityagents:The true file name is Banana
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
INFO:root:Checkpoint dir : checkpoints/banana
DEBUG:simulator.py:[Training 1/1000 episodes] ε: 1.0000, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 2/1000 episodes] ε: 0.9950, Best: -inf, Avg: 1.00, Steps: 300
DEBUG:simulator.py:[Training 3/1000 episodes] ε: 0.9900, Best: -inf, Avg: 0.33, Steps: 300
DEBUG:simulator.py:[Training 4/1000 episodes] ε: 0.9851, Best: -inf, Avg: -0.50, Steps: 300
DEBUG:simulator.py:[Training 5/1000 episodes] ε: 0.9801, Best: -inf, Avg: -0.80, Steps: 300
DEBUG:simulator.py:[Training 6/1000 episodes] ε: 0.9752, Best: -inf, Avg: -0.50, Steps: 300
DEBUG:simulator.py:[Training 7/1000 episodes] ε: 0.9704, Best: -inf, Avg: -0.43, Steps: 300
DEBUG:simulator.py:[Training 8/1000 episodes] ε: 0.9655, Best: -inf, Avg: -0.75, Steps: 300
DEBUG:simulator.py:[Training 9/1000 episodes] ε: 0.9607, Best: -inf, Avg: -0.67, Steps: 300
DEBUG:simulator.py:[Training 10/1000 episodes] ε: 0.9559, Best: -inf, Avg: -0.60, Steps: 300
DEBUG:simulator.py:[Training 11/1000 episodes] ε: 0.9511, Best: -inf, Avg: -0.45, Steps: 300
DEBUG:simulator.py:[Training 12/1000 episodes] ε: 0.9464, Best: -inf, Avg: -0.33, Steps: 300
DEBUG:simulator.py:[Training 13/1000 episodes] ε: 0.9416, Best: -inf, Avg: -0.23, Steps: 300
DEBUG:simulator.py:[Training 14/1000 episodes] ε: 0.9369, Best: -inf, Avg: -0.21, Steps: 300
DEBUG:simulator.py:[Training 15/1000 episodes] ε: 0.9322, Best: -inf, Avg: -0.20, Steps: 300
DEBUG:simulator.py:[Training 16/1000 episodes] ε: 0.9276, Best: -inf, Avg: 0.12, Steps: 300
DEBUG:simulator.py:[Training 17/1000 episodes] ε: 0.9229, Best: -inf, Avg: 0.12, Steps: 300
DEBUG:simulator.py:[Training 18/1000 episodes] ε: 0.9183, Best: -inf, Avg: 0.06, Steps: 300
DEBUG:simulator.py:[Training 19/1000 episodes] ε: 0.9137, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 20/1000 episodes] ε: 0.9092, Best: -inf, Avg: -0.05, Steps: 300
DEBUG:simulator.py:[Training 21/1000 episodes] ε: 0.9046, Best: -inf, Avg: -0.05, Steps: 300
DEBUG:simulator.py:[Training 22/1000 episodes] ε: 0.9001, Best: -inf, Avg: -0.05, Steps: 300
DEBUG:simulator.py:[Training 23/1000 episodes] ε: 0.8956, Best: -inf, Avg: -0.13, Steps: 300
DEBUG:simulator.py:[Training 24/1000 episodes] ε: 0.8911, Best: -inf, Avg: -0.12, Steps: 300
DEBUG:simulator.py:[Training 25/1000 episodes] ε: 0.8867, Best: -inf, Avg: -0.08, Steps: 300
DEBUG:simulator.py:[Training 26/1000 episodes] ε: 0.8822, Best: -inf, Avg: -0.08, Steps: 300
DEBUG:simulator.py:[Training 27/1000 episodes] ε: 0.8778, Best: -inf, Avg: -0.15, Steps: 300
DEBUG:simulator.py:[Training 28/1000 episodes] ε: 0.8734, Best: -inf, Avg: -0.18, Steps: 300
DEBUG:simulator.py:[Training 29/1000 episodes] ε: 0.8691, Best: -inf, Avg: -0.10, Steps: 300
DEBUG:simulator.py:[Training 30/1000 episodes] ε: 0.8647, Best: -inf, Avg: -0.07, Steps: 300
DEBUG:simulator.py:[Training 31/1000 episodes] ε: 0.8604, Best: -inf, Avg: -0.06, Steps: 300
DEBUG:simulator.py:[Training 32/1000 episodes] ε: 0.8561, Best: -inf, Avg: -0.03, Steps: 300
DEBUG:simulator.py:[Training 33/1000 episodes] ε: 0.8518, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 34/1000 episodes] ε: 0.8475, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 35/1000 episodes] ε: 0.8433, Best: -inf, Avg: -0.03, Steps: 300
DEBUG:simulator.py:[Training 36/1000 episodes] ε: 0.8391, Best: -inf, Avg: 0.03, Steps: 300
DEBUG:simulator.py:[Training 37/1000 episodes] ε: 0.8349, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 38/1000 episodes] ε: 0.8307, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 39/1000 episodes] ε: 0.8266, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 40/1000 episodes] ε: 0.8224, Best: -inf, Avg: 0.03, Steps: 300
DEBUG:simulator.py:[Training 41/1000 episodes] ε: 0.8183, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 42/1000 episodes] ε: 0.8142, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 43/1000 episodes] ε: 0.8102, Best: -inf, Avg: 0.07, Steps: 300
DEBUG:simulator.py:[Training 44/1000 episodes] ε: 0.8061, Best: -inf, Avg: 0.05, Steps: 300
DEBUG:simulator.py:[Training 45/1000 episodes] ε: 0.8021, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 46/1000 episodes] ε: 0.7981, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 47/1000 episodes] ε: 0.7941, Best: -inf, Avg: 0.06, Steps: 300
DEBUG:simulator.py:[Training 48/1000 episodes] ε: 0.7901, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 49/1000 episodes] ε: 0.7862, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 50/1000 episodes] ε: 0.7822, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 51/1000 episodes] ε: 0.7783, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 52/1000 episodes] ε: 0.7744, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 53/1000 episodes] ε: 0.7705, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 54/1000 episodes] ε: 0.7667, Best: -inf, Avg: 0.07, Steps: 300
DEBUG:simulator.py:[Training 55/1000 episodes] ε: 0.7629, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 56/1000 episodes] ε: 0.7590, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 57/1000 episodes] ε: 0.7553, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 58/1000 episodes] ε: 0.7515, Best: -inf, Avg: 0.03, Steps: 300
DEBUG:simulator.py:[Training 59/1000 episodes] ε: 0.7477, Best: -inf, Avg: 0.02, Steps: 300
DEBUG:simulator.py:[Training 60/1000 episodes] ε: 0.7440, Best: -inf, Avg: 0.05, Steps: 300
DEBUG:simulator.py:[Training 61/1000 episodes] ε: 0.7403, Best: -inf, Avg: 0.08, Steps: 300
DEBUG:simulator.py:[Training 62/1000 episodes] ε: 0.7366, Best: -inf, Avg: 0.13, Steps: 300
DEBUG:simulator.py:[Training 63/1000 episodes] ε: 0.7329, Best: -inf, Avg: 0.13, Steps: 300
DEBUG:simulator.py:[Training 64/1000 episodes] ε: 0.7292, Best: -inf, Avg: 0.09, Steps: 300
DEBUG:simulator.py:[Training 65/1000 episodes] ε: 0.7256, Best: -inf, Avg: 0.11, Steps: 300
DEBUG:simulator.py:[Training 66/1000 episodes] ε: 0.7219, Best: -inf, Avg: 0.12, Steps: 300
DEBUG:simulator.py:[Training 67/1000 episodes] ε: 0.7183, Best: -inf, Avg: 0.15, Steps: 300
DEBUG:simulator.py:[Training 68/1000 episodes] ε: 0.7147, Best: -inf, Avg: 0.15, Steps: 300
DEBUG:simulator.py:[Training 69/1000 episodes] ε: 0.7112, Best: -inf, Avg: 0.16, Steps: 300
DEBUG:simulator.py:[Training 70/1000 episodes] ε: 0.7076, Best: -inf, Avg: 0.16, Steps: 300
DEBUG:simulator.py:[Training 71/1000 episodes] ε: 0.7041, Best: -inf, Avg: 0.15, Steps: 300
DEBUG:simulator.py:[Training 72/1000 episodes] ε: 0.7005, Best: -inf, Avg: 0.18, Steps: 300
DEBUG:simulator.py:[Training 73/1000 episodes] ε: 0.6970, Best: -inf, Avg: 0.19, Steps: 300
DEBUG:simulator.py:[Training 74/1000 episodes] ε: 0.6936, Best: -inf, Avg: 0.20, Steps: 300
DEBUG:simulator.py:[Training 75/1000 episodes] ε: 0.6901, Best: -inf, Avg: 0.23, Steps: 300
DEBUG:simulator.py:[Training 76/1000 episodes] ε: 0.6866, Best: -inf, Avg: 0.25, Steps: 300
DEBUG:simulator.py:[Training 77/1000 episodes] ε: 0.6832, Best: -inf, Avg: 0.27, Steps: 300
DEBUG:simulator.py:[Training 78/1000 episodes] ε: 0.6798, Best: -inf, Avg: 0.28, Steps: 300
DEBUG:simulator.py:[Training 79/1000 episodes] ε: 0.6764, Best: -inf, Avg: 0.29, Steps: 300
DEBUG:simulator.py:[Training 80/1000 episodes] ε: 0.6730, Best: -inf, Avg: 0.31, Steps: 300
DEBUG:simulator.py:[Training 81/1000 episodes] ε: 0.6696, Best: -inf, Avg: 0.31, Steps: 300
DEBUG:simulator.py:[Training 82/1000 episodes] ε: 0.6663, Best: -inf, Avg: 0.34, Steps: 300
DEBUG:simulator.py:[Training 83/1000 episodes] ε: 0.6630, Best: -inf, Avg: 0.39, Steps: 300
DEBUG:simulator.py:[Training 84/1000 episodes] ε: 0.6597, Best: -inf, Avg: 0.39, Steps: 300
DEBUG:simulator.py:[Training 85/1000 episodes] ε: 0.6564, Best: -inf, Avg: 0.40, Steps: 300
DEBUG:simulator.py:[Training 86/1000 episodes] ε: 0.6531, Best: -inf, Avg: 0.42, Steps: 300
DEBUG:simulator.py:[Training 87/1000 episodes] ε: 0.6498, Best: -inf, Avg: 0.45, Steps: 300
DEBUG:simulator.py:[Training 88/1000 episodes] ε: 0.6466, Best: -inf, Avg: 0.48, Steps: 300
DEBUG:simulator.py:[Training 89/1000 episodes] ε: 0.6433, Best: -inf, Avg: 0.47, Steps: 300
DEBUG:simulator.py:[Training 90/1000 episodes] ε: 0.6401, Best: -inf, Avg: 0.48, Steps: 300
DEBUG:simulator.py:[Training 91/1000 episodes] ε: 0.6369, Best: -inf, Avg: 0.46, Steps: 300
DEBUG:simulator.py:[Training 92/1000 episodes] ε: 0.6337, Best: -inf, Avg: 0.48, Steps: 300
DEBUG:simulator.py:[Training 93/1000 episodes] ε: 0.6306, Best: -inf, Avg: 0.48, Steps: 300
DEBUG:simulator.py:[Training 94/1000 episodes] ε: 0.6274, Best: -inf, Avg: 0.52, Steps: 300
DEBUG:simulator.py:[Training 95/1000 episodes] ε: 0.6243, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 96/1000 episodes] ε: 0.6211, Best: -inf, Avg: 0.54, Steps: 300
DEBUG:simulator.py:[Training 97/1000 episodes] ε: 0.6180, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 98/1000 episodes] ε: 0.6149, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 99/1000 episodes] ε: 0.6119, Best: -inf, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 100/1000 episodes] ε: 0.6088, Best: 0.54, Avg: 0.54, Steps: 300
DEBUG:simulator.py:[Training 101/1000 episodes] ε: 0.6058, Best: 0.56, Avg: 0.56, Steps: 300
DEBUG:simulator.py:[Training 102/1000 episodes] ε: 0.6027, Best: 0.56, Avg: 0.55, Steps: 300
DEBUG:simulator.py:[Training 103/1000 episodes] ε: 0.5997, Best: 0.58, Avg: 0.58, Steps: 300
DEBUG:simulator.py:[Training 104/1000 episodes] ε: 0.5967, Best: 0.63, Avg: 0.63, Steps: 300
DEBUG:simulator.py:[Training 105/1000 episodes] ε: 0.5937, Best: 0.66, Avg: 0.66, Steps: 300
DEBUG:simulator.py:[Training 106/1000 episodes] ε: 0.5908, Best: 0.68, Avg: 0.68, Steps: 300
DEBUG:simulator.py:[Training 107/1000 episodes] ε: 0.5878, Best: 0.70, Avg: 0.70, Steps: 300
DEBUG:simulator.py:[Training 108/1000 episodes] ε: 0.5849, Best: 0.78, Avg: 0.78, Steps: 300
DEBUG:simulator.py:[Training 109/1000 episodes] ε: 0.5820, Best: 0.78, Avg: 0.78, Steps: 300
DEBUG:simulator.py:[Training 110/1000 episodes] ε: 0.5790, Best: 0.80, Avg: 0.80, Steps: 300
